category,j5_meta_category,j5_confidence,j5_rationale,j5_ok,j5_cache_hit
Laptops for Software Development,electronics_compute,high,laptops are core computing devices,True,False
Laptops for Students,electronics_compute,high,laptops are computing devices,True,False
Laptops for Students & Developers,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Laptops for Work,electronics_compute,high,laptops are core computing devices,True,True
"Laptops for Work, Browsing & Media",electronics_compute,high,laptops explicitly mentioned for work and media use,True,True
"Laptops for Work, School & Light Creative Use",electronics_compute,high,laptops explicitly mentioned,True,False
Laptops under $500,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Laptops under $500 for everyday use,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Laptops with 4K Display for Browsing and Streaming,electronics_compute,high,laptops are core computing devices,True,True
Large Capacity USB Backpack for Work Commuting,sports_outdoor,high,backpack falls under bags and backpacks in sports/outdoor category,True,True
Large Glass Ashtrays,other,high,ashtrays are smoking accessories not fitting any listed category,True,True
Laundry Detergent,home_other,high,laundry detergent is a household cleaning product,True,True
Laundry Scent Booster Beads,home_other,high,laundry scent booster beads are household cleaning/laundry products,True,True
Lawn Trimmers,sports_outdoor,high,lawn trimmers are outdoor power tools for yard maintenance,True,False
Leather Ankle Boots,apparel_footwear,high,ankle boots are footwear,True,False
Leather Dress Boots,apparel_footwear,high,leather dress boots are footwear,True,True
Leather Sofas (3-Seater),home_other,high,leather sofas are furniture items,True,True
Lifestyle Sneakers,apparel_footwear,high,sneakers are footwear,True,True
Light Truck Highway Tires (LT275/70R18),other,high,automotive tires do not fit any defined category,True,True
Lightweight 14-inch Laptops for Data Analysis,electronics_compute,high,14-inch laptops are clearly personal computing devices,True,False
Lightweight Handheld/Stick Vacuums for Stairs,home_other,high,stick/handheld vacuum cleaners are cleaning tools for the home,True,True
Lightweight Merino Wool T-Shirts,apparel_clothing,high,merino wool t-shirts are garments/clothing,True,True
Lip Gloss,beauty_personal_care,high,lip gloss is a cosmetic makeup product,True,True
Liquid Brown Eyeliner,beauty_personal_care,high,eyeliner is a makeup/cosmetic product,True,True
Lollipop Variety Packs,food_beverage,high,lollipops are consumable candy snacks,True,True
Low Profile Graphics Cards,electronics_other,high,graphics cards are gaming/PC hardware components,True,True
Low Profile Mechanical Wireless Keyboards,electronics_compute,high,wireless mechanical keyboards are computer input peripherals,True,True
Low-Carb Stevia-Sweetened Hard Candies,food_beverage,high,consumable candy/confectionery product,True,False
Luxury Bath Towels,home_other,high,bath towels are home textile/bedding products,True,True
Luxury Dive Watches,electronics_other,high,dive watches are wearable timepieces categorized with smartwatches and wearable hardware,True,True
Luxury Handbags,sports_outdoor,medium,"handbags and purses are carry accessories, closest fit is bags/backpacks under sports_outdoor",True,True
Makeup Remover Wipes,beauty_personal_care,high,makeup remover wipes are a personal care/beauty product,True,True
Makeup Removers (Heavy-Duty / Drag Makeup & Glue Removal),beauty_personal_care,high,makeup removers are personal care/beauty products,True,True
Mascara,beauty_personal_care,high,mascara is a cosmetic makeup product,True,True
Massage & Heating Pads for Back Pain,home_other,medium,therapeutic/wellness devices for home use not fitting a more specific category,True,True
Matcha Powder,food_beverage,high,matcha powder is a consumable beverage ingredient,True,True
"Men's Active Joggers (Dark Color, Size L)",apparel_clothing,high,men's jogger pants are a clothing garment,True,True
Men's Athletic/Casual Shorts,apparel_clothing,high,men's shorts are a clothing garment,True,True
Men's Basic T-Shirts,apparel_clothing,high,men's t-shirts are garments/clothing,True,True
Men's Black Moisture-Wicking Long Sleeve Shirts,apparel_clothing,high,men's long sleeve shirts are garments/clothing,True,True
Men's Casual Long Sleeve Shirts,apparel_clothing,high,men's long sleeve shirts are garments/clothing,True,True
Men's Casual Shoes (Size 12),apparel_footwear,high,men's casual shoes are footwear,True,False
Men's Casual Sneakers,apparel_footwear,high,men's casual sneakers are footwear,True,True
Men's Casual Spring Shoes (Non-Leather),apparel_footwear,high,men's casual shoes are footwear,True,True
Men's Cologne / Eau de Toilette,beauty_personal_care,high,men's fragrance products fall under personal care,True,True
Men's Cologne Sampler Sets,beauty_personal_care,high,cologne/fragrance products fall under personal care,True,False
Men's Dinner Date Outfit (Complete Look),apparel_clothing,high,men's outfit/clothing ensemble for a dinner date,True,False
Men's Hair Styling Combs,beauty_personal_care,high,hair styling tools fall under personal care/haircare,True,True
Men's Harness Boots,apparel_footwear,high,harness boots are a style of men's footwear,True,True
Men's Marathon Racing Shoes (Size 10.5),apparel_footwear,high,racing shoes are footwear,True,True
Men's Professional Suits,apparel_clothing,high,men's suits are garments/clothing,True,True
"Men's Running Shorts (2-Pack, No Pockets)",apparel_clothing,high,men's running shorts are garments/clothing,True,True
Men's Slim Fit Everyday T-Shirts,apparel_clothing,high,men's t-shirts are garments/clothing,True,True
Men's Slim Straight Jeans,apparel_clothing,high,men's jeans are a clothing garment,True,False
Men's Travel Pants,apparel_clothing,high,men's pants are a clothing garment,True,False
Mid-Century Modern Footstools,home_other,high,footstools are furniture/home decor items,True,True
Mini LED Monitor,electronics_compute,high,monitor is a computer display peripheral,True,False
Mirrorless Cameras,electronics_other,high,mirrorless cameras are photographic hardware,True,True
Mobile Phones,electronics_compute,high,mobile phones are explicitly listed under electronics_compute,True,True
Moisturizer for Mature Skin,beauty_personal_care,high,moisturizer is a skincare product,True,False
Muffin Pans,home_kitchen,high,muffin pans are bakeware used in the kitchen,True,True
N95 Respirators,other,high,personal protective equipment / medical safety gear,True,True
NHL Carolina Hurricanes Jersey,apparel_clothing,high,sports team jersey is a garment/clothing item,True,True
Nail Polish,beauty_personal_care,high,nail polish is a cosmetic beauty product,True,True
Needoh Stress Balls,toys_hobbies,high,Needoh stress balls are sensory fidget toys,True,True
Neutral Off-the-Shoulder Dresses,apparel_clothing,high,off-the-shoulder dresses are garments/clothing,True,True
Newborn Baby Swings,baby_kids,high,newborn baby swings are infant/baby products,True,True
Nikon Z-Mount Camera Lens,electronics_other,high,camera lens accessory falls under cameras/photography equipment,True,True
Noise Canceling Microphones for Podcasting,electronics_audio,high,microphones are explicitly listed under electronics_audio,True,True
Noise Cancelling In-Ear Headphones,electronics_audio,high,in-ear headphones with noise cancellation are audio devices,True,True
Noise Cancelling Wireless Headphones,electronics_audio,high,wireless headphones with noise cancellation are core audio devices,True,True
Noise-Canceling Headphones,electronics_audio,high,noise-canceling headphones are a core audio device,True,True
Non-Alcoholic Mouthwash for Gum Health,beauty_personal_care,high,oral care product for dental/gum hygiene,True,False
Nursery Rugs (approx. 5x7 or similar size),baby_kids,high,nursery rugs are specifically for baby/toddler rooms,True,False
OLED TVs,electronics_other,high,"OLED TVs are televisions, explicitly listed under electronics_other",True,True
Office Area Rugs,home_other,high,rugs are home decor/furnishing items,True,True
Office Chairs,home_other,high,office chairs are furniture items,True,False
On-Ear Gaming Headphones,electronics_audio,high,on-ear gaming headphones are audio headset devices,True,False
Open-Air Earbuds,electronics_audio,high,open-air earbuds are a type of audio listening device,True,True
Organic Hair & Body Soap Bars,beauty_personal_care,high,soap bars are personal care/hygiene products,True,False
Oscillating Desk/Table Fans,home_other,high,desk/table fans are home comfort/cooling appliances not in kitchen category,True,True
Outdoor Gothic/Supernatural Wall Decor,home_other,high,wall decor is home decoration regardless of aesthetic theme,True,True
Outdoor Patio Dining Chairs (Set of 6),home_other,high,outdoor patio dining chairs are furniture items,True,True
Outdoor Walking Shoes,apparel_footwear,high,walking shoes are footwear,True,True
Outdoor Wood-Burning Fire Pits,sports_outdoor,high,outdoor fire pits are outdoor leisure/backyard equipment,True,True
Over-Ear Gaming Headphones,electronics_audio,high,over-ear gaming headphones are audio headsets,True,True
Over-Ear Headphones,electronics_audio,high,over-ear headphones are a core audio device,True,True
Over-Ear Noise-Cancelling Headphones,electronics_audio,high,over-ear noise-cancelling headphones are a core audio device,True,True
Over-Ear Wireless Headphones,electronics_audio,high,over-ear wireless headphones are a core audio product,True,True
Over-Ear/On-Ear Headphones for Active Use,electronics_audio,high,over-ear/on-ear headphones are audio devices,True,True
Oversized T-Shirts (XXL) for Nightlife,apparel_clothing,high,oversized t-shirts are garments/clothing items,True,True
Oyster Shucking Kits,home_kitchen,high,kitchen tool set for preparing shellfish,True,True
PC Gaming Headset with Built-in Microphone,electronics_audio,high,gaming headset with microphone is an audio/headset device,True,True
PC USB Handbrake for Sim Racing,electronics_other,high,sim racing peripheral / gaming hardware accessory,True,False
"PLA 3D Printing Filament (1.75mm, 1kg Spool)",toys_hobbies,high,3D printing filament is a hobbyist/craft consumable supply,True,True
PS5 Controllers,electronics_other,high,gaming hardware/controllers,True,True
PS5 Story-Driven Thriller Video Games,electronics_other,high,video games are gaming hardware/software under electronics_other,True,True
Party Board Games,toys_hobbies,high,board games are games/hobbies,True,True
Peel and Stick Floor Tiles,home_other,high,peel-and-stick floor tiles are home decor/flooring products,True,True
Perfume,beauty_personal_care,high,perfume is a personal care/fragrance product,True,True
Perfume (Eau de Toilette / Eau de Parfum),beauty_personal_care,high,perfume and fragrance products fall under personal care/beauty,True,True
Perfumes,beauty_personal_care,high,perfumes are personal care/fragrance products,True,True
Period Underwear,apparel_clothing,high,period underwear is a wearable garment/undergarment,True,False
Personal Item Travel Bags,sports_outdoor,high,travel bags and personal item bags fall under bags/backpacks in sports_outdoor,True,True
Pet-Focused Upright Corded Vacuum Cleaners,home_other,high,vacuum cleaner is a home cleaning appliance,True,True
Phone Car Holders (Air Vent Mount),electronics_other,high,car mount accessory for phones falls under smart/other electronics accessories,True,True
Pillows for Side/Back Sleepers,home_other,high,sleeping pillows are bedding/home goods,True,True
PlayStation 2 Consoles,electronics_other,high,gaming hardware console,True,True
PlayStation 5 Open World Games (No Creatures/Zombies/Aliens/Spiders),electronics_other,high,PS5 gaming hardware and software category,True,False
Plus-Size Women's Casual Tops & Dresses,apparel_clothing,high,plus-size women's tops and dresses are garments/clothing,True,True
Pod Coffee Makers with Iced Tea Brewing,home_kitchen,high,coffee maker appliance with brewing functionality,True,True
Pore-Clearing Exfoliating Masks for Blackheads,beauty_personal_care,high,skincare product targeting pores and blackheads,True,True
Portable Bluetooth Speakers,electronics_audio,high,portable Bluetooth speakers are audio output devices,True,True
Portable Camping Coffee Dripper,sports_outdoor,high,portable camping gear for outdoor use,True,True
Portable Chargers / Power Banks,electronics_other,high,portable chargers and power banks are consumer electronics accessories,True,False
Portable Clothes Steamer,home_kitchen,high,portable clothes steamer is a small home appliance for garment care,True,False
Portable Music Stands,toys_hobbies,high,music stands are accessories for musical instruments/hobbies,True,True
Portable Power Banks,electronics_other,high,portable power banks are mobile charging accessories under electronics,True,True
Portable Upholstery Cleaners,home_other,high,upholstery cleaners are home cleaning tools,True,True
Portable Upholstery Shampooers,home_other,high,portable upholstery shampooers are home cleaning tools,True,True
Portable Washing Machine,home_kitchen,high,portable washing machine is a home appliance,True,False
Post-Op Wrist Braces (Small/XS Adult Sizes),other,high,medical/orthopedic support device not covered by any standard category,True,True
Power Banks,electronics_other,high,power banks are portable battery accessories for electronics,True,False
Pre-Filled Weed Vape Pens,other,high,cannabis vaping products do not fit any standard retail category listed,True,False
Press-On Nails,beauty_personal_care,high,press-on nails are a nail beauty/cosmetic product,True,True
Pressure Cooker,home_kitchen,high,pressure cooker is a kitchen appliance,True,True
Pressure Washers (Entry-Level Commercial/Business Use),home_other,high,pressure washers are cleaning tools/equipment for home or commercial use,True,True
Professional Camera Bodies for Wedding Photography,electronics_other,high,"camera bodies are cameras, classified under electronics_other",True,False
Professional Outdoor Mural Paint Sets,toys_hobbies,medium,mural paint sets are art/craft supplies fitting hobbies category,True,True
Queen Bed Frames,home_other,high,bed frames are furniture items,True,False
Queen Comforters,home_other,high,queen-size comforters are bedding products,True,True
Queen Size Mattress Pads,home_other,high,mattress pads are bedding products,True,True
Queen Size Percale Cotton Sheets,home_other,high,bedding product (queen size sheets),True,True
RV Toilet Treatment,other,high,RV toilet treatment is a specialized vehicle/sanitation product not fitting any listed category,True,True
RX 6700 XT Graphics Cards,electronics_other,high,GPU/graphics card is gaming/compute hardware,True,True
Rain Jackets,apparel_clothing,high,rain jackets are outerwear garments,True,True
Rare Neopets Collectible Merchandise,toys_hobbies,high,Neopets merchandise falls under collectibles and hobby items,True,False
Ready-Made Oatmeal Raisin Cookies (Bulk/Party Size),food_beverage,high,consumable baked food product,True,True
Red Light Therapy Face Masks,beauty_personal_care,high,LED red light therapy masks are skincare/beauty devices,True,True
Red Light Therapy Masks,beauty_personal_care,high,LED red light therapy masks are skincare/beauty devices,True,True
Refrigerator,home_kitchen,high,refrigerator is a major kitchen appliance,True,False
Refurbished Smartphones - iPhone 14 Pro Max & Alternatives,electronics_compute,high,refurbished smartphones fall under phones/mobile devices,True,False
Reusable Feminine Sanitary Pads (Heavy Flow Multi-Pack Sets),beauty_personal_care,high,feminine hygiene products fall under personal care,True,True
Rice Cooker,home_kitchen,high,rice cooker is a kitchen appliance,True,True
Riding Lawn Mowers,other,high,outdoor power equipment not covered by defined categories,True,True
Road Bike Tires,sports_outdoor,high,road bike tires are cycling/sporting goods equipment,True,True
Road Bikes,sports_outdoor,high,road bikes are sporting/outdoor cycling equipment,True,True
Road Running Shoes,apparel_footwear,high,road running shoes are a type of athletic footwear,True,True
Robot Vacuum Cleaner,home_other,high,robot vacuum is a cleaning tool/appliance for the home,True,True
Robot Vacuum Cleaners,home_other,high,robot vacuum cleaners are automated cleaning tools for the home,True,True
Robot Vacuum/Mop,home_other,high,robot vacuum/mop is a cleaning tool for the home,True,True
Rugged Gaming Laptops,electronics_compute,high,gaming laptops are portable computers,True,True
Rugged Laptops for Remote Work & Editing,electronics_compute,high,rugged laptops are portable computers used for remote work and editing,True,True
Running Shoes,apparel_footwear,high,running shoes are footwear,True,True
S'mores Flavored Tea,food_beverage,high,flavored tea is a consumable beverage product,True,True
School Backpacks,sports_outdoor,high,backpacks explicitly listed under sports_outdoor category,True,True
Seat Cushions for Office Chairs,home_other,high,"seat cushions are home/office comfort accessories, not fitness or furniture per se but closest to home decor/comfort items",True,True
Self-Adhesive Laminate Sheets,other,high,adhesive laminate sheets are office/craft supply materials not fitting standard categories,True,True
Semi-Automatic Pistols,other,high,firearms do not fit any defined product category,True,True
Semi-Cured Nail Stickers (Solid Colors),beauty_personal_care,high,nail stickers are a nail care/beauty product,True,True
Shampoo,beauty_personal_care,high,shampoo is a haircare product,True,True
"Shampoo for Curly, Sensitive & Eczema-Prone Hair",beauty_personal_care,high,shampoo is a haircare product,True,True
Shoe Racks,home_other,high,shoe racks are home storage/furniture items,True,True
Shop Vacuums,home_other,high,shop vacuums are cleaning/vacuum tools for home or workshop use,True,True
Side-by-Side Refrigerators with Ice Maker,home_kitchen,high,refrigerators are major kitchen appliances,True,False
Silicone Body Scrubbers,beauty_personal_care,high,silicone body scrubbers are personal care/bathing tools,True,True
Silk Summer Pants,apparel_clothing,high,silk summer pants are a clothing garment,True,True
Single-Cup Electric Drip Coffee Makers,home_kitchen,high,single-cup electric drip coffee makers are kitchen appliances,True,True
Single-Serve Coffee Maker,home_kitchen,high,single-serve coffee maker is a kitchen appliance,True,True
Single-Serve Coffee Maker (Ground Coffee Compatible),home_kitchen,high,single-serve coffee maker is a kitchen appliance,True,True
Single-Serve Coffee Makers (K-Cup Compatible),home_kitchen,high,coffee makers are kitchen appliances,True,True
Skincare Routine Sets for Oily/Acne-Prone Skin,beauty_personal_care,high,skincare sets targeting oily/acne-prone skin are personal care products,True,True
Sleeping Pillows,home_other,high,sleeping pillows are bedding/home comfort products,True,True
Slim Wireless Keyboards for Mac,electronics_compute,high,wireless keyboards are computer input peripherals,True,True
Small Bedroom Makeup Vanity with Mirror,home_other,high,vanity with mirror is bedroom furniture,True,False
Small Bookshelves,home_other,high,bookshelves are furniture/home storage items,True,False
Small Kitchen Counter Lamps,home_other,high,"counter lamps are decorative/lighting home items, not kitchen appliances or cookware",True,True
Small Luxury Crossbody/Travel Bags,sports_outdoor,high,crossbody and travel bags fall under bags/backpacks in sports_outdoor,True,True
Small Toaster Ovens,home_kitchen,high,toaster ovens are small kitchen appliances,True,True
Smart Refrigerators with Touchscreen Display,home_kitchen,high,refrigerators are kitchen appliances,True,True
Smart Ring Step Tracker,electronics_other,high,smart ring is a wearable/smart device similar to a smartwatch,True,True
Smart Watch,electronics_other,high,smartwatches fall under electronics_other per category definition,True,False
Smartphone,electronics_compute,high,smartphones are mobile computing devices,True,False
Smartphones,electronics_compute,high,smartphones are mobile computing devices,True,True
Smartwatch,electronics_other,high,smartwatches are explicitly listed under electronics_other,True,True
Smartwatches / Fitness Trackers,electronics_other,high,smartwatches and fitness trackers are wearable electronics,True,True
Soccer Balls,sports_outdoor,high,soccer balls are sporting goods equipment,True,False
Soccer Jerseys,apparel_clothing,high,soccer jerseys are sports garments/clothing,True,True
Sofas,home_other,high,sofas are furniture items,True,True
Softball Pitching Mats,sports_outdoor,high,softball training equipment used in sport/fitness context,True,True
Solar Charge Controllers,other,high,solar charge controllers are electrical/energy management devices not fitting any specific listed category,True,False
Solar Generators / Portable Power Stations,electronics_other,high,portable power stations are consumer electronics hardware not fitting audio or compute subcategories,True,True
Solar Powered Portable Phone Charger,electronics_other,high,solar-powered portable charger is a consumer electronics accessory,True,False
Soy Milk Makers,home_kitchen,high,soy milk makers are kitchen appliances used to process food,True,False
Spaghetti Meal Kits / Bundles,food_beverage,high,meal kits are consumable food products,True,True
Sports & Nutrition Tracking Smartwatch,electronics_other,high,smartwatch is explicitly listed under electronics_other,True,True
Sports Car Style SUV / Crossover,other,high,"vehicle/automobile body style, not a product category in the defined list",True,True
Stainless Steel 316L Hoop Earrings,other,high,jewelry/earrings do not fit any defined category,True,True
Stand Mixers,home_kitchen,high,stand mixers are kitchen appliances,True,True
Standard Drip Coffee Makers,home_kitchen,high,drip coffee makers are kitchen appliances,True,True
Steam Mops,home_other,high,steam mops are floor cleaning tools,True,True
Stitch Plush Toys,toys_hobbies,high,plush stuffed toys fall under toys and hobbies,True,True
Streaming Sticks,electronics_other,high,streaming sticks are smart home/media devices like Roku or Fire Stick,True,True
Studio Headphones,electronics_audio,high,studio headphones are professional over-ear audio devices,True,True
Summer Dresses - Fairy Tale / Historical Inspired,apparel_clothing,high,summer dresses are garments/clothing items,True,True
Sunglasses,apparel_clothing,medium,"sunglasses are a wearable accessory, closest to apparel",True,True
TENS Units for Pain Relief,other,high,medical/therapeutic device not fitting any standard product category above,True,True
THD Ascorbate (Tetrahexyldecyl Ascorbate) Vitamin C Serums & Moisturizers,beauty_personal_care,high,Vitamin C serums and moisturizers are skincare products,True,True
Tablets,electronics_compute,high,tablets are explicitly listed under electronics_compute,True,True
Teak/Mahogany Wood Kitchen Dish Drying Rack,home_kitchen,high,dish drying rack is a kitchen accessory,True,True
Telephoto Lenses for Canon EF Mount (APS-C Compatible),electronics_other,high,camera lenses are photography accessories under electronics_other,True,False
Titanium EDC Pocket Knife,sports_outdoor,high,EDC pocket knife is everyday carry gear commonly classified under outdoor/sporting goods,True,True
Toaster,home_kitchen,high,toaster is a common kitchen appliance,True,True
Toasters,home_kitchen,high,toasters are kitchen appliances,True,False
Toddler Play Kitchen,toys_hobbies,high,play kitchen is a toy for children's imaginative play,True,True
Toe Socks,apparel_footwear,high,toe socks are foot-covering apparel closely associated with footwear,True,True
Top Load Washing Machines,home_other,high,washing machines are home appliances used for laundry,True,True
Top-Load Washing Machines with Agitator,home_other,high,washing machine is a large home appliance for laundry,True,True
Tote Bags with Cup Holder/Pocket,sports_outdoor,high,tote bags and carry bags fall under bags/backpacks in sports_outdoor,True,True
Trail Running Shoes,apparel_footwear,high,trail running shoes are a type of athletic footwear,True,True
Travel Backpack,sports_outdoor,high,backpacks and travel bags fall under sports/outdoor category,True,True
Travel Backpacks,sports_outdoor,high,travel backpacks are bags/backpacks classified under sports and outdoor gear,True,False
Travel Beauty Gift Sets (Makeup Bag with Lotions),beauty_personal_care,high,travel beauty gift sets with makeup bag and lotions are personal care/beauty products,True,True
Travel Neck Pillows,sports_outdoor,medium,travel accessories fit closest to outdoor/travel gear category,True,True
Treadmills,sports_outdoor,high,treadmills are fitness/exercise equipment,True,False
True Wireless Earbuds,electronics_audio,high,true wireless earbuds are a core audio product,True,True
Turmeric Supplements,food_beverage,high,dietary supplement consumable,True,True
Turntables / Record Players,electronics_other,high,turntables and record players are consumer audio/entertainment electronics hardware,True,True
Twin Size Air Mattress with Built-in Pump,home_other,high,air mattress is bedding/sleep furniture,True,True
USB Audio Interfaces (with DAC),electronics_audio,high,USB audio interfaces with DAC are audio recording/playback devices,True,True
USB Microphone,electronics_audio,high,USB microphone is an audio input device,True,True
USB-C Chargers Compatible with MacBook Air M1,electronics_compute,high,USB-C charger accessory for a laptop,True,True
USB/XLR PC Microphones for Gaming & Voice Chat,electronics_audio,high,microphones are explicitly listed under electronics_audio,True,False
UV Reactive Mascara,beauty_personal_care,high,mascara is a makeup/cosmetic product,True,True
Ultra-Wide Prime Lenses for Astrophotography (Canon RF/RF-S Mount Compatible),electronics_other,high,camera lenses are photography equipment,True,True
Ultrasonic Dog Bark Control Devices,other,high,pet behavior control device not fitting standard categories,True,True
Under-Desk Walking Treadmills,sports_outdoor,high,walking treadmills are fitness equipment,True,True
Under-Eye Cream / Gel for Eye Bags (Anti-Aging),beauty_personal_care,high,under-eye cream is a skincare/beauty product,True,True
Underwire T-Shirt Bras,apparel_clothing,high,bras are undergarments/clothing items,True,True
Universal Replacement Earpads,electronics_audio,high,earpads are accessories for headphones/audio equipment,True,False
Unlocked No-Contract Smartphones,electronics_compute,high,smartphones are mobile phones/computing devices,True,True
Upright Vacuum Cleaner,home_other,high,upright vacuum cleaner is a cleaning appliance,True,True
Upright Vacuums,home_other,high,upright vacuums are household cleaning appliances,True,False
"Used Cars Under $20,000",other,high,automotive vehicle purchase does not fit any defined product category,True,True
Used Cars for Tall Drivers (Local Commute),other,high,used automobiles do not fit any defined product category,True,True
Used Mid-Size SUVs with Third Row Seating,other,high,"automotive vehicle purchase category, not covered by any product label",True,False
"Used SUVs ($4,000–$5,000)",other,high,used vehicle purchase does not fit any product category listed,True,True
Used/Refurbished Gaming Desktop Computers,electronics_other,high,gaming desktop computers fall under gaming hardware,True,True
Vacqueyras Red Wine,food_beverage,high,alcoholic beverage (wine) is a consumable food/drink product,True,True
Vacuum Cleaner,home_other,high,vacuum cleaners are cleaning tools for the home,True,False
Vacuum Cleaners,home_other,high,vacuum cleaners are cleaning tools/appliances for the home,True,True
Vegan Breakfast Bars,food_beverage,high,consumable food product (breakfast bars),True,True
Video Game Consoles,electronics_other,high,gaming hardware falls under electronics_other,True,True
Vinyl Cleaners,toys_hobbies,high,vinyl record cleaning products used by music/audio hobbyists,True,True
Vinyl Records - Danzig Self-Titled Debut Album,toys_hobbies,high,vinyl records are collectible music media fitting hobbies/collectibles,True,True
Violin Cases,toys_hobbies,high,violin case is a musical instrument accessory,True,True
Voice Recorders,electronics_other,high,voice recorders are portable electronic recording devices not fitting audio peripherals or compute categories,True,True
Waffle Maker,home_kitchen,high,waffle maker is a kitchen appliance,True,True
Walking Pads / Under-Desk Treadmills,sports_outdoor,high,fitness equipment used for walking/exercise,True,True
Walking Shoes,apparel_footwear,high,walking shoes are footwear,True,True
"Walking Shoes (Women's, Size 6 Wide, Lace-Up)",apparel_footwear,high,women's walking shoes are clearly footwear,True,True
Wall Art Prints for Teenage Girls' Rooms,home_other,high,wall art prints are home decor items,True,True
Washing Machine,home_other,high,washing machine is a home appliance used for laundry,True,True
Watches,electronics_other,medium,watches including smartwatches fall under electronics_other; traditional watches also best fit here as no dedicated accessories category exists,True,False
Water Flossers,beauty_personal_care,high,water flossers are oral hygiene / personal care devices,True,True
Watercolor Markers,toys_hobbies,high,art/craft supplies used for hobbies and creative projects,True,True
Waterproof Sneakers,apparel_footwear,high,sneakers are footwear,True,True
Waterproof Sunscreen SPF 50+,beauty_personal_care,high,sunscreen is a personal care/skincare product,True,False
Waterproof Walking Shoes,apparel_footwear,high,waterproof walking shoes are footwear,True,True
Webcams,electronics_other,high,webcams are camera peripherals not fitting compute or audio categories,True,True
Wedding Dresses,apparel_clothing,high,wedding dresses are formal garments,True,True
Wedding Guest Dresses,apparel_clothing,high,dresses are garments worn as clothing,True,True
"Weekly Grocery Delivery Meal Kit Services (Family Plan, 5 people)",food_beverage,high,meal kit delivery services are consumable food products,True,False
WiFi / Network Cards,electronics_compute,high,network cards are computer hardware components,True,True
Wide Leg Track Pants (Size 2X),apparel_clothing,high,track pants are a garment/clothing item,True,True
Wilco - Star Wars CD (2015),toys_hobbies,high,music CD is a collectible/hobby media item,True,True
Wild Bird Seed Mix,other,high,wild bird seed is a pet/wildlife supply not fitting any listed category,True,True
Windows Laptop Computer,electronics_compute,high,laptop computer is a core computing device,True,False
Windows Laptops,electronics_compute,high,Windows laptops are portable computers,True,True
Winter Jackets,apparel_clothing,high,winter jackets are outerwear garments,True,True
Wired Earbud Headphones,electronics_audio,high,wired earbuds are audio listening devices,True,True
Wired Earphones,electronics_audio,high,wired earphones are audio listening devices,True,False
Wired Headphones with Bass Boost,electronics_audio,high,wired headphones are audio devices,True,True
Wireless 75% Mechanical Keyboards,electronics_compute,high,mechanical keyboard is a computer input peripheral,True,False
Wireless Bluetooth Mouse,electronics_compute,high,wireless bluetooth mouse is a computer peripheral,True,True
Wireless Earbuds,electronics_audio,high,wireless earbuds are audio devices,True,True
Wireless Earbuds for iPhone,electronics_audio,high,wireless earbuds are audio accessories,True,True
Wireless Earbuds with Active Noise Cancellation,electronics_audio,high,wireless earbuds are a core audio device category,True,True
Wireless Gaming Headphones,electronics_audio,high,wireless gaming headphones are audio peripherals,True,True
Wireless Headphones,electronics_audio,high,wireless headphones are a core audio device,True,True
Wireless Headphones with Microphone,electronics_audio,high,wireless headphones with microphone are core audio peripherals,True,True
Wireless Keyboard and Mouse Combo,electronics_compute,high,keyboard and mouse are standard computer peripherals,True,True
Wireless Noise-Cancelling Headphones,electronics_audio,high,headphones are a core audio device category,True,True
Wireless Over-Ear Headphones,electronics_audio,high,wireless over-ear headphones are a core audio device,True,True
Wireless Over-Ear Noise-Canceling Headphones,electronics_audio,high,over-ear noise-canceling headphones are core audio electronics,True,False
Wireless Speakers,electronics_audio,high,wireless speakers are audio output devices,True,True
Wireless Sport Headphones,electronics_audio,high,wireless sport headphones are audio devices,True,True
Women's Adjustable Slip-On Slippers with Arch Support,apparel_footwear,high,slippers are footwear,True,True
Women's Black Platform Strappy Sandals,apparel_footwear,high,platform strappy sandals are women's footwear,True,True
Women's Casual Professional Shirts,apparel_clothing,high,women's shirts are garments/clothing,True,True
Women's Casual Walking Shoes,apparel_footwear,high,women's walking shoes are clearly footwear,True,False
Women's Daily Multivitamin Gummies,food_beverage,high,dietary supplement consumable,True,False
Women's Dress Flats,apparel_footwear,high,dress flats are women's flat shoes,True,True
Women's Dresses,apparel_clothing,high,women's dresses are garments/clothing,True,True
Women's Hiking Sandals,apparel_footwear,high,hiking sandals are footwear,True,True
Women's Leather Jackets,apparel_clothing,high,leather jackets are garments worn as outerwear,True,False
Women's One-Piece Swimsuit with Underwire,apparel_clothing,high,one-piece swimsuit is a garment/clothing item,True,True
Women's One-Piece Swimsuits,apparel_clothing,high,swimsuit is a garment/clothing item,True,True
Women's Running Shorts,apparel_clothing,high,running shorts are a garment/clothing item,True,True
Women's Super High-Waisted Skinny Jeans,apparel_clothing,high,women's jeans are a clothing garment,True,True
Women's Trail Running Shoes,apparel_footwear,high,trail running shoes are footwear,True,True
Women's Workout Sets,apparel_clothing,high,women's workout sets are athletic garments/clothing,True,False
Women's Workout Shoes for Wide Feet,apparel_footwear,high,workout shoes are footwear,True,True
Women's XL White Button-Down Shirt for Catering,apparel_clothing,high,women's button-down shirt is a garment regardless of intended use,True,True
